"qry_transcript_id","ref_gene_id","qry_gene_id","ref_gene_name","gene_annotation","ref_transcript_id","ref_transcript_name","class_code","female_log2FoldChange"
"TU41580","LOC111515438","G24262","uncharacterized LOC111515438","refseq","XM_023171664.1","uncharacterized LOC111515438, transcript variant X1","=",-2.05312771403049
"TU43690",NA,"G25750","* hypothetical protein JTB14_020007","novel","KAG5897790","hypothetical protein JTB14_020007","u",-1.00072289205359
"TU43691","LOC111516334","G25751","serine-rich adhesin for platelets-like","refseq","XM_023172500.1","serine-rich adhesin for platelets-like","o",-2.22714424797289
"TU12337","LOC111504027","G6885","sodium/potassium/calcium exchanger 3-like","refseq","XM_023158501.1","sodium/potassium/calcium exchanger 3-like, transcript variant X2","j",-4.11530653116402
"TU19345","LOC111506746","G10843","sodium-independent sulfate anion transporter-like","refseq","XM_023161945.1","sodium-independent sulfate anion transporter-like","=",-1.21042597914305
"TU19344","LOC111506739","G10842","focal adhesion kinase 1-like","refseq","XM_023161933.1","focal adhesion kinase 1-like","j",-0.655454756979735
"TU4434","LOC111517353","G2444","60S ribosomal protein L13","refseq","XM_023173485.1","60S ribosomal protein L13","=",0.501579347155037
"TU4430","LOC111517350","G2442","asparagine synthetase [glutamine-hydrolyzing]","refseq","XM_023173478.1","asparagine synthetase [glutamine-hydrolyzing], transcript variant X1","=",-0.893551719547168
"TU5521",NA,"G3059","* vanin-like protein 2","novel","XP_023027619","vanin-like protein 2","r",0.563375155451028
"TU6878","LOC111501856","G3802","uncharacterized LOC111501856","refseq","XM_023155768.1","uncharacterized LOC111501856, transcript variant X1","k",-1.5366979657763
"TU37868","LOC111513921","G21842","ankyrin-3-like","refseq","XM_023170140.1","ankyrin-3-like","j",1.5802304765963
"TU37869","LOC111513921","G21842","ankyrin-3-like","refseq","XM_023170140.1","ankyrin-3-like","c",1.9681153322278
"TU43048","LOC111516056","G25275","vacuolar protein sorting-associated protein 54-like","refseq","XM_023172242.1","vacuolar protein sorting-associated protein 54-like","i",-0.35507026582817
"TU35216","LOC111512913","G20179","ubiquitin carboxyl-terminal hydrolase 14","refseq","XM_023169069.1","ubiquitin carboxyl-terminal hydrolase 14","j",-0.592881847201605
"TU44994","LOC111516916","G26754","phospholipase D-like","refseq","XM_023173005.1","phospholipase D-like","=",0.686419011549801
"TU30681","LOC111511166","G17404","uncharacterized protein KIAA1841","refseq","XM_023167180.1","uncharacterized protein KIAA1841, transcript variant X4","=",6.88982130546934
"TU14199","LOC111504790","G7991","3-ketoacyl-CoA thiolase","refseq","XM_023159482.1","3-ketoacyl-CoA thiolase, mitochondrial-like","k",-0.735179633860837
"TU11016","LOC111503497","G6136","estrogen sulfotransferase-like","refseq","XM_023157807.1","estrogen sulfotransferase-like","e",-0.760065331213385
"TU40677","LOC111515075","G23639","peroxidase-like","refseq","XM_023171314.1","peroxidase-like","k",-2.15192569790799
"TU40676","LOC111515073","G23638","beta-galactosidase-1-like protein 3","refseq","XM_023171313.1","beta-galactosidase-1-like protein 3","=",-5.88795417375651
"TU40650",NA,"G23625","* Pickpocket protein 28","novel","XP_021967784","Pickpocket protein 28","u",1.33283687907829
"TU44964","LOC111516906","G26735","C-1-tetrahydrofolate synthase","refseq","XM_023172996.1","C-1-tetrahydrofolate synthase, cytoplasmic-like","o",-2.0613209398071
"TU6125","LOC111518052","G3381","uncharacterized LOC111518052","refseq","XM_023174377.1","uncharacterized LOC111518052","=",1.14660168893853
"TU10764","LOC111503417","G6021","aurora kinase A-B-like","refseq","XM_023157713.1","aurora kinase A-B-like","=",-0.753617608538469
"TU10766","LOC111503416","G6023","1-phosphatidylinositol 4","refseq","XM_023157711.1","1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1","i",1.67129192009312
"TU10769",NA,"G6024","* hypothetical protein EVAR_47544_1","novel","GBP52889","hypothetical protein EVAR_47544_1","u",-22.003146016197
"TU17755","LOC111506161","G9986","uncharacterized LOC111506161","refseq","XM_023161159.1","uncharacterized LOC111506161, transcript variant X3","j",-2.07631030304118
"TU2922","LOC111511564","G1577","uncharacterized LOC111511564","refseq","XM_023167594.1","uncharacterized LOC111511564, transcript variant X1","=",0.763082546391207
"TU3030","LOC111512003","G1630","multidrug resistance-associated protein 4-like","refseq","XM_023168093.1","multidrug resistance-associated protein 4-like","c",-2.47245615954936
"TU30924",NA,"G17550","* ---NA---","novel",NA,"---NA---","r",2.90078072613001
"TU30926","LOC111511263","G17552","esterase FE4-like","refseq","XM_023167276.1","esterase FE4-like","j",-0.791666832727999
"TU30922","LOC111511262","G17548","esterase E4-like","refseq","XM_023167274.1","esterase E4-like","j",-0.792532871695489
"TU43890","LOC111516426","G25920","juvenile hormone acid O-methyltransferase-like","refseq","XM_023172590.1","juvenile hormone acid O-methyltransferase-like","=",-2.75081430910964
"TU26273","LOC111509446","G14821","arginine/serine-rich protein PNISR-like","refseq","XM_023165202.1","arginine/serine-rich protein PNISR-like, transcript variant X1","m",0.677403065668286
"TU25890","LOC111509290","G14596","eukaryotic translation initiation factor 3 subunit H","refseq","XM_023165001.1","eukaryotic translation initiation factor 3 subunit H","=",0.56220707605323
"TU8971","LOC111502721","G5011","cyclin-L1","refseq","XM_023156872.1","cyclin-L1","=",-1.3174451245002
"TU9595","LOC111502943","G5362","period circadian protein","refseq","XM_023157128.1","period circadian protein, transcript variant X1","m",-2.3314991015484
"TU9593","LOC111502943","G5362","period circadian protein","refseq","XM_023157131.1","period circadian protein, transcript variant X4","n",-1.5977116479699
"TU1364","LOC111504364","G702","inositol-tetrakisphosphate 1-kinase-like","refseq","XM_023158911.1","inositol-tetrakisphosphate 1-kinase-like, transcript variant X1","=",-0.827227530252393
"TU9620","LOC111502961","G5381","uncharacterized LOC111502961","refseq","XM_023157159.1","uncharacterized LOC111502961","j",-0.866687008531775
"TU20948","LOC111507398","G11764","homeotic protein Sex combs reduced-like","refseq","XM_023162695.1","homeotic protein Sex combs reduced-like, transcript variant X1","j",-22.2020106048297
"TU31643","LOC111511530","G17989","ER membrane protein complex subunit 7 homolog","refseq","XM_023167547.1","ER membrane protein complex subunit 7 homolog","j",-25.1239736733008
"TU36143","LOC111513274","G20755","uncharacterized LOC111513274","refseq","XM_023169461.1","uncharacterized LOC111513274, transcript variant X4","j",26.3324046714361
"TU20364","LOC111507173","G11428","trithorax group protein osa","refseq","XM_023162449.1","trithorax group protein osa, transcript variant X7","j",-1.52844269596184
"TU38453",NA,"G22213","* ---NA---","novel",NA,"---NA---","u",2.00629152479533
"TU39345","LOC111514541","G22777","protein retinal degeneration B","refseq","XM_023170799.1","protein retinal degeneration B, transcript variant X3","j",1.39016763149969
"TU42782","LOC111515943","G25084","uncharacterized LOC111515943","refseq","XM_023172138.1","uncharacterized LOC111515943","j",0.621857315307336
"TU12132","LOC111503949","G6788","regucalcin-like","refseq","XM_023158396.1","regucalcin-like, transcript variant X2","x",0.988533948267412
"TU12131","LOC111503935","G6787","regucalcin-like","refseq","XM_023158373.1","regucalcin-like","j",-3.02328754048941
"TU12130","LOC111503949","G6786","regucalcin-like","refseq","XM_023158395.1","regucalcin-like, transcript variant X1","=",-0.826570458321596
"TU12135","LOC111503948","G6788","protein odr-4 homolog","refseq","XM_023158394.1","protein odr-4 homolog","n",-22.8940762402675
"TU12138","LOC111503953","G6789","regucalcin-like","refseq","XM_023158398.1","regucalcin-like","=",-2.06703112515449
"TU12687","LOC111504181","G7107","probable actin-related protein 2/3 complex subunit 2","refseq","XM_023158681.1","probable actin-related protein 2/3 complex subunit 2","=",-0.497383827123843
"TU12686","LOC111504179","G7106","enhancer of split mbeta protein-like","refseq","XM_023158679.1","enhancer of split mbeta protein-like","=",0.839756296346591
"TU21901","LOC111507770","G12298","uncharacterized LOC111507770","refseq","XR_002722436.1","uncharacterized LOC111507770","j",1.02934179608843
"TU21906",NA,"G12302","* uncharacterized protein LOC115883668","novel","XP_030757913","uncharacterized protein LOC115883668","u",2.4886938092575
"TU38210","LOC111514058","G22052","nuclear autoantigen Sp-100-like","refseq","XM_023170299.1","nuclear autoantigen Sp-100-like","i",-1.68297571639843
"TU8504","LOC111502532","G4736","death-associated protein kinase related","refseq","XM_023156632.1","death-associated protein kinase related, transcript variant X1","j",-17.0676465349291
"TU863",NA,"G447","* longitudinals lacking protein ","novel","XP_039284537","longitudinals lacking protein isoform X36","u",-1.33726460718497
"TU864",NA,"G447","* zinc finger protein 425-like","novel","XP_028141005","zinc finger protein 425-like","u",2.01864381321822
"TU28057","LOC111510108","G15840","uncharacterized LOC111510108","refseq","XR_002722727.1","uncharacterized LOC111510108","=",-1.73821162577854
"TU14281","LOC111504810","G8027","heat shock 70 kDa protein cognate 3","refseq","XM_023159510.1","heat shock 70 kDa protein cognate 3, transcript variant X1","=",-1.21771452554076
"TU23000","LOC111508186","G12939","uncharacterized LOC111508186","refseq","XM_023163615.1","uncharacterized LOC111508186, transcript variant X2","i",0.87982321102859
"TU10708","LOC111503387","G5987","activator of 90 kDa heat shock protein ATPase homolog 1","refseq","XM_023157679.1","activator of 90 kDa heat shock protein ATPase homolog 1","=",-0.572240200227566
"TU11560","LOC111503711","G6448","fibrillin-2-like","refseq","XM_023158082.1","fibrillin-2-like","j",-23.7050934147574
"TU28194","LOC111510167","G15920","kinesin-like protein KIF11-B","refseq","XM_023166050.1","kinesin-like protein KIF11-B","=",-2.47943505222025
"TU28195","LOC111510167","G15920","kinesin-like protein KIF11-B","refseq","XM_023166050.1","kinesin-like protein KIF11-B","j",-1.33528432258042
"TU28199","LOC111510168","G15922","lipase member H-A-like","refseq","XM_023166055.1","lipase member H-A-like, transcript variant X5","=",-5.04205087090225
"TU14428","LOC111504872","G8110","uncharacterized LOC111504872","refseq","XM_023159583.1","uncharacterized LOC111504872","=",-2.68596247118139
"TU10214","LOC111503216","G5732","uncharacterized LOC111503216","refseq","XM_023157468.1","uncharacterized LOC111503216","j",-8.8311483830943
"TU10213","LOC111503216","G5732","uncharacterized LOC111503216","refseq","XM_023157468.1","uncharacterized LOC111503216","j",-7.09278034207429
"TU41622","LOC111515465","G24298","far upstream element-binding protein 2-like","refseq","XM_023171688.1","far upstream element-binding protein 2-like","j",0.654359148229143
"TU43714","LOC111516342","G25771","pickpocket protein 28-like","refseq","XM_023172512.1","pickpocket protein 28-like","=",1.83420061913359
"TU33224",NA,"G18985","* piggyBac transposable element-derived protein 2-like","novel","XP_031343006","piggyBac transposable element-derived protein 2-like","u",-1.55626292125503
"TU33229","LOC111512176","G18986","rap guanine nucleotide exchange factor 2","refseq","XM_023168274.1","rap guanine nucleotide exchange factor 2, transcript variant X2","j",-1.38031599860906
"TU41842","LOC111515552","G24449","uncharacterized LOC111515552","refseq","XM_023171770.1","uncharacterized LOC111515552","c",-1.02614463237175
"TU44915",NA,"G26694","* major royal jelly protein 3-like","novel","ATB56351","major royal jelly protein 3-like","u",-2.05188429835173
"TU3611","LOC111515004","G1973","lethal(3)malignant brain tumor-like protein 4","refseq","XM_023171258.1","lethal(3)malignant brain tumor-like protein 4, transcript variant X4","j",-1.38175136392678
"TU36308","LOC111513342","G20860","uncharacterized LOC111513342","refseq","XM_023169542.1","uncharacterized LOC111513342","=",-1.84854214393358
"TU36309","LOC111513344","G20861","alpha-tocopherol transfer protein-like","refseq","XM_023169544.1","alpha-tocopherol transfer protein-like","=",1.60583137219452
"TU1755","LOC111506009","G927","regucalcin-like","refseq","XM_023160927.1","regucalcin-like","j",-2.51407363995639
"TU1756","LOC111506009","G927","regucalcin-like","refseq","XM_023160927.1","regucalcin-like","=",-2.08186361958259
"TU7978",NA,"G4427","* hypothetical protein JTB14_018036","novel","KAG5884313","hypothetical protein JTB14_018036","u",-1.52407967399134
"TU41371","LOC111515354","G24114","sulfhydryl oxidase 2","refseq","XM_023171581.1","sulfhydryl oxidase 2","=",-0.953172458081617
"TU2228","LOC111508189","G1209","28S ribosomal protein S5","refseq","XM_023163621.1","28S ribosomal protein S5, mitochondrial","=",0.421638978616886
"TU2222",NA,"G1206","* Retrovirus-related Pol polyprotein from transposon 412-like Protein","novel","XP_028146828","Retrovirus-related Pol polyprotein from transposon 412-like Protein","u",-0.870299302296853
"TU41375","LOC111515358","G24117","probable aminoacyl tRNA synthase complex-interacting multifunctional protein 2","refseq","XM_023171585.1","probable aminoacyl tRNA synthase complex-interacting multifunctional protein 2","o",0.444024407572182
"TU8340","LOC111502454","G4639","uncharacterized LOC111502454","refseq","XM_023156538.1","uncharacterized LOC111502454","o",1.24591980306579
"TU8345","LOC111502456","G4643","26S proteasome regulatory subunit 6A-B","refseq","XM_023156540.1","26S proteasome regulatory subunit 6A-B","=",0.628360928830358
"TU8346","LOC111502457","G4644","protein sel-1 homolog 1","refseq","XM_023156542.1","protein sel-1 homolog 1, transcript variant X2","=",-0.651998791051732
"TU34643","LOC111512693","G19825","multidrug resistance-associated protein 4-like","refseq","XM_023168839.1","multidrug resistance-associated protein 4-like","c",-1.1009525554403
"TU44311",NA,"G26234","* ---NA---","novel",NA,"---NA---","u",-1.35620378338174
"TU20726",NA,"G11639","* ---NA---","novel",NA,"---NA---","r",1.59556754776546
"TU28058","LOC111510108","G15841","uncharacterized LOC111510108","refseq","XR_002722727.1","uncharacterized LOC111510108","i",-1.74862231721025
"TU30264","LOC111511010","G17159","dynein heavy chain 1","refseq","XM_023167005.1","dynein heavy chain 1, axonemal-like","j",18.8264591512077
"TU9126","LOC111502784","G5097","uncharacterized LOC111502784","refseq","XM_023156939.1","uncharacterized LOC111502784","j",-5.12407466278521
"TU26750",NA,"G15088","* ---NA---","novel",NA,"---NA---","r",-2.31058250310265
"TU26754","LOC111509641","G15090","NADPH oxidase 5","refseq","XM_023165418.1","NADPH oxidase 5","j",-1.44314560513545
"TU26755","LOC111509641","G15090","NADPH oxidase 5","refseq","XM_023165418.1","NADPH oxidase 5","j",1.13245755740396
"TU26756","LOC111509642","G15091","uncharacterized LOC111509642","refseq","XR_002722668.1","uncharacterized LOC111509642","j",1.03401892744909
"TU32520","LOC111511904","G18548","uncharacterized LOC111511904","refseq","XM_023167973.1","uncharacterized LOC111511904, transcript variant X4","=",2.09473232622861
"TU32521","LOC111511904","G18548","uncharacterized LOC111511904","refseq","XM_023167969.1","uncharacterized LOC111511904, transcript variant X1","=",22.9154777541966
"TU28056","LOC111510111","G15839","uncharacterized LOC111510111","refseq","XM_023165973.1","uncharacterized LOC111510111","=",-3.45651653564222
"TU27405","LOC111509879","G15469","alpha-N-acetylgalactosaminidase-like","refseq","XM_023165731.1","alpha-N-acetylgalactosaminidase-like","=",-1.39913715773977
"TU27403","LOC111509880","G15468","protein arginine N-methyltransferase 1","refseq","XM_023165733.1","protein arginine N-methyltransferase 1, transcript variant X1","=",-0.534640343549596
"TU27400","LOC111509878","G15465","N-acetylgalactosaminyltransferase 6-like","refseq","XM_023165730.1","N-acetylgalactosaminyltransferase 6-like","j",-0.855215034930725
"TU24270","LOC111508680","G13667","myocyte-specific enhancer factor 2","refseq","XM_023164264.1","myocyte-specific enhancer factor 2, transcript variant X5","j",0.75536725252353
"TU21003","LOC111507417","G11798","serine/threonine-protein phosphatase 4 regulatory subunit 1-like","refseq","XM_023162711.1","serine/threonine-protein phosphatase 4 regulatory subunit 1-like, transcript variant X3","=",2.03574364037071
"TU21002","LOC111507417","G11798","serine/threonine-protein phosphatase 4 regulatory subunit 1-like","refseq","XM_023162709.1","serine/threonine-protein phosphatase 4 regulatory subunit 1-like, transcript variant X1","=",-0.780833653006781
"TU25586","LOC111509177","G14409","uncharacterized LOC111509177","refseq","XM_023164872.1","uncharacterized LOC111509177","m",1.74564864714479
"TU12491","LOC111504089","G6983","RNA-binding protein fusilli-like","refseq","XM_023158580.1","RNA-binding protein fusilli-like, transcript variant X1","i",0.722565840352856
"TU25632","LOC111509189","G14432","uncharacterized LOC111509189","refseq","XM_023164881.1","uncharacterized LOC111509189","j",-2.81650280598705
"TU25635",NA,"G14433","* ---NA---","novel",NA,"---NA---","u",1.14325068524912
"TU19710","LOC111506909","G11054","vitellogenin-like","refseq","XM_023162129.1","vitellogenin-like","=",-8.982774183513
"TU22062",NA,"G12395","* brain protein I3","novel","XP_018569489","brain protein I3","u",-2.34970939421071
"TU23331","LOC111508332","G13128","acyl-coenzyme A thioesterase 13-like","refseq","XM_023163790.1","acyl-coenzyme A thioesterase 13-like, transcript variant X2","=",-1.10531086731428
"TU10536","LOC111503328","G5896","uncharacterized LOC111503328","refseq","XM_023157615.1","uncharacterized LOC111503328, transcript variant X4","k",-21.5430660810357
"TU10530","LOC111503328","G5896","uncharacterized LOC111503328","refseq","XM_023157612.1","uncharacterized LOC111503328, transcript variant X1","j",-21.0635019057918
"TU10394","LOC111503292","G5823","brahma-associated protein of 60 kDa","refseq","XM_023157563.1","brahma-associated protein of 60 kDa","c",0.427627682800906
"TU5920","LOC111517993","G3276","microtubule-associated protein tau-like","refseq","XM_023174299.1","microtubule-associated protein tau-like","e",0.995390756282049
"TU16637","LOC111505741","G9376","venom carboxylesterase-6-like","refseq","XM_023160601.1","venom carboxylesterase-6-like, transcript variant X4","i",2.24671874257855
"TU16631","LOC111505737","G9370","UPF0183 protein CG7083","refseq","XM_023160595.1","UPF0183 protein CG7083, transcript variant X1","=",-1.0464049627866
"TU16633","LOC111505739","G9372","venom carboxylesterase-6-like","refseq","XM_023160597.1","venom carboxylesterase-6-like","=",-5.18493196708048
"TU44725","LOC111516786","G26545","GILT-like protein 1","refseq","XM_023172900.1","GILT-like protein 1","=",-2.64100142626181
"TU33587","LOC111512306","G19202","facilitated trehalose transporter Tret1-like","refseq","XM_023168416.1","facilitated trehalose transporter Tret1-like","i",-6.23555747827928
"TU34586",NA,"G19787","* complement factor H ","novel","XP_028136666","complement factor H isoform X8","u",1.88250736821908
"TU34585",NA,"G19786","* complement factor H ","novel","VEN56860","complement factor H isoform X5","u",1.27005707759071
"TU28656","LOC111510338","G16200","fibroin heavy chain-like","refseq","XM_023166240.1","fibroin heavy chain-like","j",-10.5097278108075
"TU1139","LOC111503221","G574","transient receptor potential protein-like","refseq","XM_023157474.1","transient receptor potential protein-like","j",21.2623167940901
"TU4155","LOC111517258","G2291","midnolin homolog","refseq","XM_023173341.1","midnolin homolog","=",-1.03675721259715
"TU6782",NA,"G3741","* ---NA---","novel",NA,"---NA---","u",2.34523881748484
"TU9323","LOC111502867","G5225","uncharacterized LOC111502867","refseq","XR_002721803.1","uncharacterized LOC111502867","=",1.00725918586119
"TU9322","LOC111502859","G5224","uncharacterized LOC111502859","refseq","XR_002721800.1","uncharacterized LOC111502859","=",0.787825196977342
"TU9327","LOC111502869","G5228","phenoloxidase 2-like","refseq","XM_023157032.1","phenoloxidase 2-like","=",-1.29293476591738
"TU605","LOC111518146","G320","cyclin-dependent kinase 12-like","refseq","XM_023174515.1","cyclin-dependent kinase 12-like, transcript variant X2","j",-1.2633219239403
"TU32726",NA,"G18684","* ---NA---","novel",NA,"---NA---","u",0.867000590924893
"TU32721","LOC111511987","G18680","probable tRNA N6-adenosine threonylcarbamoyltransferase","refseq","XM_023168070.1","probable tRNA N6-adenosine threonylcarbamoyltransferase, mitochondrial","i",2.92114210150046
"TU39931",NA,"G23157","* hypothetical protein AVEN_177203-1","novel","GBN80879","hypothetical protein AVEN_177203-1","u",-1.23816783505173
"TU3794","LOC111515845","G2082","leukocyte tyrosine kinase receptor","refseq","XM_023172051.1","leukocyte tyrosine kinase receptor, transcript variant X1","x",-20.5901487043883
"TU38553","LOC111514193","G22279","retinol-binding protein pinta-like","refseq","XM_023170434.1","retinol-binding protein pinta-like","=",-1.02924216595331
"TU38554","LOC111514194","G22280","uncharacterized protein C2orf42 homolog","refseq","XM_023170435.1","uncharacterized protein C2orf42 homolog","=",1.22228277951916
"TU30768",NA,"G17462","* protein ZBED8-like","novel","XP_022908276","protein ZBED8-like","u",-0.977186105199185
"TU32896","LOC111512054","G18784","ficolin-2-like","refseq","XM_023168147.1","ficolin-2-like","x",2.91310826509579
"TU32893","LOC111512054","G18781","ficolin-2-like","refseq","XM_023168147.1","ficolin-2-like","i",1.22663820706329
"TU45387",NA,"G27069","* Hypothetical predicted protein","novel","RZC36957","Hypothetical predicted protein","u",1.09934681931534
"TU25036","LOC111508973","G14089","voltage-dependent T-type calcium channel subunit alpha-1G-like","refseq","XM_023164631.1","voltage-dependent T-type calcium channel subunit alpha-1G-like","k",-1.94742537294803
"TU36434","LOC111513386","G20932","glia maturation factor gamma","refseq","XM_023169586.1","glia maturation factor gamma, transcript variant X1","=",-1.12232202755896
"TU22260",NA,"G12514","* RNA-directed DNA polymerase from mobile element jockey","novel","KAG5872933","RNA-directed DNA polymerase from mobile element jockey","u",1.75622145715358
"TU27302","LOC111509840","G15414","uncharacterized LOC111509840","refseq","XM_023165674.1","uncharacterized LOC111509840","=",-2.42097098352442
"TU22885","LOC111508128","G12872","zinc finger protein OZF-like","refseq","XM_023163552.1","zinc finger protein OZF-like","=",1.29244671454836
"TU11029","LOC111503503","G6144","serine/arginine repetitive matrix protein 1-like","refseq","XM_023157815.1","serine/arginine repetitive matrix protein 1-like","=",-0.900183939091995
"TU20656","LOC111507287","G11593","glutathione hydrolase 1 proenzyme-like","refseq","XM_023162578.1","glutathione hydrolase 1 proenzyme-like","=",1.35431314028389
"TU20658","LOC111507283","G11595","uncharacterized LOC111507283","refseq","XM_023162573.1","uncharacterized LOC111507283","j",-3.50200675719414
"TU41717",NA,"G24358","* hypothetical protein","novel","KAF6210075","hypothetical protein","u",0.708138636297257
"TU13390","LOC111504487","G7540","uncharacterized LOC111504487","refseq","XM_023159050.1","uncharacterized LOC111504487","i",-1.58933455224133
"TU13392","LOC111504473","G7542","uncharacterized LOC111504473","refseq","XR_002722009.1","uncharacterized LOC111504473","=",0.86358607171856
"TU13396",NA,"G7545","* E-selectin-like","novel","XP_023014824","E-selectin-like","u",-3.09415151897888
"TU13397","LOC111504490","G7545","uncharacterized LOC111504490","refseq","XM_023159054.1","uncharacterized LOC111504490","=",-2.08731682888157
"TU13643","LOC111504582","G7674","protein tramtrack","refseq","XM_023159205.1","protein tramtrack, beta isoform-like, transcript variant X31","=",0.600823563595754
"TU40830","LOC111515141","G23747","zinc finger protein 3-like","refseq","XM_023171377.1","zinc finger protein 3-like","j",-1.00764953714378
"TU40832","LOC111515142","G23749","zinc finger protein 32-like","refseq","XM_023171378.1","zinc finger protein 32-like","=",-0.62437232000687
"TU25647","LOC111509196","G14440","dynein heavy chain 5","refseq","XM_023164890.1","dynein heavy chain 5, axonemal-like","j",-8.31820529196368
"TU24029","LOC111508583","G13533","methylthioribulose-1-phosphate dehydratase","refseq","XM_023164134.1","methylthioribulose-1-phosphate dehydratase","=",-0.412798513444451
"TU25644",NA,"G14438","* RNA-directed DNA polymerase from mobile element jockey-like ","novel","RVE40036","RNA-directed DNA polymerase from mobile element jockey-like isoform X1","u",-1.49931500101484
"TU21212","LOC111507492","G11920","calcium-binding mitochondrial carrier protein Aralar1","refseq","XM_023162796.1","calcium-binding mitochondrial carrier protein Aralar1","k",-0.698577690147445
"TU21215","LOC111507489","G11921","uncharacterized LOC111507489","refseq","XM_023162794.1","uncharacterized LOC111507489","j",-4.59655350017007
"TU36652","LOC111513463","G21057","uncharacterized LOC111513463","refseq","XM_023169680.1","uncharacterized LOC111513463","=",-1.14851476891303
"TU22017","LOC111507809","G12368","polypeptide N-acetylgalactosaminyltransferase 5-like","refseq","XM_023163168.1","polypeptide N-acetylgalactosaminyltransferase 5-like","m",-0.704973549479771
"TU5235","LOC111517739","G2907","immunoglobulin domain-containing protein oig-4-like","refseq","XM_023173992.1","immunoglobulin domain-containing protein oig-4-like","=",1.87210269625297
"TU12514","LOC111504097","G6999","eye-specific diacylglycerol kinase","refseq","XM_023158588.1","eye-specific diacylglycerol kinase","j",-1.78763999298787
"TU12519","LOC111504104","G7002","glucose dehydrogenase [FAD","refseq","XM_023158595.1","glucose dehydrogenase [FAD, quinone]-like","j",-5.29707611407639
"TU16878","LOC111505851","G9525","SAGA-associated factor 11 homolog","refseq","XM_023160736.1","SAGA-associated factor 11 homolog","=",-0.782774761758897
"TU16879","LOC111505850","G9526","cilia- and flagella-associated protein 36","refseq","XM_023160735.1","cilia- and flagella-associated protein 36","=",11.4144432746398
"TU29426","LOC111510663","G16652","ankyrin-1","refseq","XM_023166594.1","ankyrin-1, transcript variant X1","j",-2.22044155596601
"TU5302","LOC111517759","G2946","uncharacterized LOC111517759","refseq","XM_023174023.1","uncharacterized LOC111517759","x",-17.1705974151339
"TU42990",NA,"G25230","* Retrotransposable element SLACS 132 kDa protein","novel","KAF9806244","Retrotransposable element SLACS 132 kDa protein","u",-3.33590602775502
"TU22748","LOC111508075","G12795","mitoferrin-1","refseq","XM_023163499.1","mitoferrin-1, transcript variant X1","c",-0.814119671985365
"TU43027","LOC111516045","G25259","reticulon-4-interacting protein 1","refseq","XM_023172235.1","reticulon-4-interacting protein 1, mitochondrial-like","=",-0.760091595111783
"TU19694","LOC111506901","G11045","peroxidase-like","refseq","XM_023162121.1","peroxidase-like","c",-1.27400291531363
"TU19698",NA,"G11046","* unnamed protein product, partial","novel","CAB0008867","unnamed protein product, partial","u",-1.24275819016095
"TU378","LOC111516074","G202","helix-loop-helix protein delilah","refseq","XM_023172356.1","helix-loop-helix protein delilah, transcript variant X2","=",1.12054407185439
"TU370","LOC111515452","G196","serine/threonine-protein kinase minibrain-like","refseq","XM_023171707.1","serine/threonine-protein kinase minibrain-like, transcript variant X1","j",0.852903680516649
"TU371","LOC111515452","G196","serine/threonine-protein kinase minibrain-like","refseq","XM_023171766.1","serine/threonine-protein kinase minibrain-like, transcript variant X2","=",-0.78778117789514
"TU165","LOC111506640","G91","dynein beta chain","refseq","XM_023161802.1","dynein beta chain, ciliary","j",20.1986210005892
"TU28465","LOC111510264","G16080","piwi-like protein Ago3","refseq","XM_023166174.1","piwi-like protein Ago3","j",-1.07949111119103
"TU28466","LOC111510264","G16081","piwi-like protein Ago3","refseq","XM_023166174.1","piwi-like protein Ago3","c",-0.964002800184466
"TU28460","LOC111510262","G16077","uncharacterized LOC111510262","refseq","XM_023166173.1","uncharacterized LOC111510262","j",-0.811932063349314
"TU28468","LOC111510265","G16083","RWD domain-containing protein 2A","refseq","XM_023166175.1","RWD domain-containing protein 2A","x",-1.44985234360944
"TU35280","LOC111512932","G20212","CAP-Gly domain-containing linker protein 2-like","refseq","XM_023169093.1","CAP-Gly domain-containing linker protein 2-like, transcript variant X2","j",2.56399887330088
"TU4958","LOC111517622","G2751","CAAX prenyl protease 2","refseq","XM_023173825.1","CAAX prenyl protease 2","=",-0.817613727739648
"TU36882",NA,"G21208","* unnamed protein product","novel","CAD7257524","unnamed protein product","u",1.00027586735787
"TU14800","LOC111505016","G8329","G2/mitotic-specific cyclin-B2-like","refseq","XM_023159757.1","G2/mitotic-specific cyclin-B2-like","=",-1.90327346490409
"TU14806","LOC111505023","G8330","collagen alpha-1(VIII) chain-like","refseq","XM_023159763.1","collagen alpha-1(VIII) chain-like, transcript variant X1","j",-6.81967876310298
"TU41314","LOC111515330","G24075","uncharacterized LOC111515330","refseq","XM_023171560.1","uncharacterized LOC111515330","=",-1.34796142741292
"TU16408","LOC111505658","G9238","putative pre-mRNA-splicing factor ATP-dependent RNA helicase PRP1","refseq","XM_023160506.1","putative pre-mRNA-splicing factor ATP-dependent RNA helicase PRP1","j",0.635826237289264
"TU16407","LOC111505658","G9238","putative pre-mRNA-splicing factor ATP-dependent RNA helicase PRP1","refseq","XM_023160506.1","putative pre-mRNA-splicing factor ATP-dependent RNA helicase PRP1","=",0.391306207532552
"TU34625","LOC111512683","G19813","zinc finger MYM-type protein 5-like","refseq","XM_023168829.1","zinc finger MYM-type protein 5-like","k",1.05878339861191
